year,temp_C_global
2000,0.17477313716899878
2001,0.24568731901197627
2002,0.28513734499168597
2003,0.29435968681343305
2004,0.29866471800774685
2005,0.3018912236056588
2006,0.297107042077548
2007,0.29692951758483666
2008,0.3123816887927644
2009,0.3346165782511312
2010,0.3551552586816945
2011,0.38213599451190194
2012,0.41003867816790185
2013,0.443497412268263
2014,0.47518488370531153
2015,0.5018374274287624
2016,0.5305713849346035
2017,0.5602745396449588
2018,0.5916291842378362
2019,0.6234208714541548
2020,0.6561492710944935
2021,0.6909798240800097
2022,0.7294088958294057
2023,0.7686472465179438
2024,0.8049856501366232
2025,0.8341406284816696
2026,0.8546756553333953
2027,0.8688713047481139
2028,0.880438175296545
2029,0.8909373657711471
2030,0.9020911234960584
2031,0.916081378350002
2032,0.9337384113400543
2033,0.957426895325398
2034,0.9893310983001117
2035,1.0245263770884887
2036,1.0598197235274287
2037,1.0923160954686204
2038,1.1211466946843425
2039,1.1462626277105343
2040,1.166359392767069
2041,1.1839500459616077
2042,1.2022786814655846
2043,1.2233652074994499
2044,1.2481401811207555
2045,1.2793087970952923
2046,1.3159712934227392
2047,1.355457444221385
2048,1.3940839387781008
2049,1.4263065976192264
2050,1.4498221823258128
2051,1.46777187977488
2052,1.4836081513745696
2053,1.4985689596440999
2054,1.5151739660966488
2055,1.53648883451442
2056,1.5633455996704906
2057,1.5914396361706387
2058,1.6180491657853109
2059,1.6438233655465857
2060,1.6658577796164562
2061,1.682881276545157
2062,1.6970201769651925
2063,1.7106165546665273
2064,1.7252144200378572
2065,1.741812645213718
2066,1.7633124839206094
2067,1.7901457494381363
2068,1.818889050303909
2069,1.8452487252414085
2070,1.866542652414136
2071,1.8824669401111107
2072,1.8953913659837385
2073,1.9077791530174344
2074,1.9195911241521073
2075,1.9313969297774967
2076,1.9438916463004476
2077,1.9581637539305299
2078,1.9762169137074919
2079,1.998259777213116
2080,2.022485451887068
2081,2.046052638146569
2082,2.0674314617145457
2083,2.085335998071512
2084,2.1003164959470664
2085,2.112267055649686
2086,2.121663324598134
2087,2.131633128763547
2088,2.1434718807872097
2089,2.158675391147056
2090,2.1791253341251897
2091,2.2030852743741702
2092,2.229052423042068
2093,2.252503477151329
2094,2.268807295058044
2095,2.2794929015146073
2096,2.286407555728624
2097,2.2920153641130843
2098,2.2982032356525437
2099,2.3067495822813275
2100,2.3201103400840766
2101,2.3289055508519696
2102,2.3326149090875554
2103,2.3383458951179548
2104,2.3446907373690995
2105,2.349943939886599
2106,2.3544123451311285
2107,2.3590863608253034
2108,2.3646960514609114
2109,2.3720976121825608
2110,2.3823135517352227
2111,2.397156711112583
2112,2.413529315115743
2113,2.428151327206223
2114,2.439462230043295
2115,2.447940410685655
2116,2.4545625138718794
2117,2.459706559977794
2118,2.464795554842643
2119,2.47066020351327
2120,2.4790440236406455
2121,2.4913252102857584
2122,2.507179008003072
2123,2.521637408128343
2124,2.5333707923344715
2125,2.5423765153922653
2126,2.547596596988552
2127,2.55129250379267
2128,2.554874916996622
2129,2.5594536606572382
2130,2.566876991259296
2131,2.5798724025521644
2132,2.595523489133492
2133,2.6101613855554695
2134,2.622154143823757
2135,2.629836101121199
2136,2.633560580583938
2137,2.635828660164234
2138,2.6385282220174293
2139,2.6418782673505836
2140,2.6465696708239963
2141,2.6540154589357283
2142,2.6644966521240474
2143,2.6756026494129554
2144,2.6859769245968477
2145,2.695290001176979
2146,2.702116754120554
2147,2.707430128053216
2148,2.7119827544354687
2149,2.715710195683854
2150,2.7194968353017006
2151,2.7238117169572127
2152,2.730066443819698
2153,2.7401282932090165
2154,2.753291633153484
2155,2.765860462765567
2156,2.7757895543913307
2157,2.782706930947715
2158,2.7861648396171583
2159,2.7870345700582324
2160,2.787072552804206
2161,2.7880334874865893
2162,2.7917047488981592
2163,2.7997697200147287
2164,2.8120086025184086
2165,2.823487544440428
2166,2.832539343170332
2167,2.83800483683044
2168,2.839057074504196
2169,2.8382402367073674
2170,2.837166253084147
2171,2.83696441214412
2172,2.8388252131797884
2173,2.844564199451104
2174,2.853379816486846
2175,2.863248822270696
2176,2.8724862275090577
2177,2.878900416280511
2178,2.8816357762571987
2179,2.8820331099597785
2180,2.8813034541586875
2181,2.8801428055515608
2182,2.8791657598644904
2183,2.878744210957699
2184,2.8795598576171377
2185,2.8824820657415047
2186,2.888999158768756
2187,2.8971400976490114
2188,2.904815557013337
2189,2.9122260066354912
2190,2.9169693112272155
2191,2.918044660618483
2192,2.917286934926097
2193,2.9163724091300236
2194,2.9161055302434344
2195,2.9172331496661044
2196,2.921650468834493
2197,2.9298845760289427
2198,2.9398001248017676
2199,2.9480074560597385
2200,2.9527597232330978
2201,2.953789592165524
2202,2.952649394070192
2203,2.9511769995802775
2204,2.9491714518165564
2205,2.9470734989817777
2206,2.9454084977966057
2207,2.944889890216779
2208,2.946921137608079
2209,2.95169843603772
2210,2.958118611380592
2211,2.9641483751587634
2212,2.968697644706101
2213,2.9710318654125403
2214,2.971431560592179
2215,2.969840832876574
2216,2.9666407240781565
2217,2.963911948657587
2218,2.962581362152496
2219,2.9636296886392444
2220,2.9681138421698905
2221,2.9750910667012653
2222,2.9840170793393277
2223,2.9916133798189253
2224,2.994618254059837
2225,2.9940205423066426
2226,2.9907969222531015
2227,2.986803295696414
2228,2.983174305108389
2229,2.9810871697309325
2230,2.9825609752625875
2231,2.986830746906408
2232,2.991464244957584
2233,2.9958978039099433
2234,2.9989019966271493
2235,2.999541145166173
2236,2.9976308485818537
2237,2.9941516434955853
2238,2.9907985402746604
2239,2.988317117387974
2240,2.9877929022036884
2241,2.99077338741733
2242,2.997151977129438
2243,3.003804757473039
2244,3.0084372781095143
2245,3.0098643917120635
2246,3.0078710134704636
2247,3.004397811560519
2248,3.0003142761114163
2249,2.9958568824640834
2250,2.991662463239086
2251,2.98815786595684
2252,2.986280480853687
2253,2.987085743478484
2254,2.990702585652824
2255,2.9949270033219677
2256,2.9983728068978075
2257,3.00062562628394
2258,3.0004776750466284
2259,2.9982437856106543
2260,2.994076328676502
2261,2.9886964550345754
2262,2.98405178690443
2263,2.980907240740033
2264,2.980323650449088
2265,2.9833200497272236
2266,2.988811110181859
2267,2.995411573502073
2268,2.999241012828406
2269,2.9985079133045693
2270,2.9944985830704423
2271,2.988517713850255
2272,2.981840629973601
2273,2.9757355679962423
2274,2.9721814144327254
2275,2.9720503061642094
2276,2.974261351827211
2277,2.9762809178212626
2278,2.976706589463534
2279,2.9750865678558633
2280,2.970625115672642
2281,2.964330804164162
2282,2.9580729212098427
2283,2.9525075543903143
2284,2.948632727153783
2285,2.948159114763695
2286,2.9512947571438604
2287,2.9554754156005516
2288,2.9581618817702595
2289,2.9565140602150284
2290,2.9516001645728713
2291,2.9453900275255314
2292,2.937772230138874
2293,2.92985942762089
2294,2.9233428517216633
2295,2.920303962108942
2296,2.9207496619372235
2297,2.923510433369095
2298,2.9260825711160323
2299,2.9253127845679714
2300,2.9208589827163824
