year,temp_C_global
2000,0.1446780935969495
2001,0.1921993341839474
2002,0.22795442730541715
2003,0.2504078196226154
2004,0.2673370578705354
2005,0.2809698568210087
2006,0.28926011753824754
2007,0.2985410136284192
2008,0.3141948618895706
2009,0.33377256733868554
2010,0.35521564864066124
2011,0.37831254227103506
2012,0.401508226813859
2013,0.428423202013966
2014,0.4551663281004905
2015,0.48195575716213446
2016,0.511478800040708
2017,0.5418125186368001
2018,0.572449998208308
2019,0.6025630610282302
2020,0.6324176994303794
2021,0.6616191313605635
2022,0.6904608467944207
2023,0.7184149597958578
2024,0.7444141528484207
2025,0.7670279806349356
2026,0.7856479926486701
2027,0.8009658712652659
2028,0.8142449033805002
2029,0.8261220589812839
2030,0.8376032825309283
2031,0.8501024357156866
2032,0.8641377688131728
2033,0.8804844111534802
2034,0.8999457505952515
2035,0.9209013832384463
2036,0.9421101523125475
2037,0.9624297509379833
2038,0.9812939986909786
2039,0.9985228324476221
2040,1.013491441910387
2041,1.02700532481305
2042,1.0402176129461582
2043,1.0538240878689047
2044,1.0682124147625032
2045,1.0844870242114155
2046,1.102561261552275
2047,1.1216248135586568
2048,1.1404570655006532
2049,1.157056295731191
2050,1.1704219422724023
2051,1.1813467269790605
2052,1.1909346084222758
2053,1.1997093406147805
2054,1.2086498562951697
2055,1.2189818302423978
2056,1.23120174689741
2057,1.2439842435108082
2058,1.2563598065446442
2059,1.2684985940325617
2060,1.2793616879821874
2061,1.2883002874021194
2062,1.295896669620164
2063,1.3029664270270727
2064,1.3101191683541613
2065,1.3177912798743794
2066,1.3270908548985345
2067,1.338345715071157
2068,1.3504899963821526
2069,1.3620260206199826
2070,1.3718878123542242
2071,1.3797819924529857
2072,1.3863865895287106
2073,1.3925563271999362
2074,1.398332688867635
2075,1.4039449645952855
2076,1.4096872750496674
2077,1.4159863374965762
2078,1.4236181743849041
2079,1.432770985710041
2080,1.4428981460929504
2081,1.4530759794125248
2082,1.4627278473096712
2083,1.4712872871841667
2084,1.4788046095493288
2085,1.4851787901346871
2086,1.490492683795747
2087,1.4958119670795196
2088,1.5016541103631094
2089,1.5086124481852117
2090,1.5174530197267047
2091,1.5277209271147802
2092,1.538928745278669
2093,1.5494995085648087
2094,1.5576405564335245
2095,1.5636485825844255
2096,1.5680480114059943
2097,1.571649566215571
2098,1.5751717020598621
2099,1.5793175254278136
2100,1.5850727499713917
2101,1.5934225375518711
2102,1.6026834113298565
2103,1.6109199468569113
2104,1.6178393080820241
2105,1.6227086440438263
2106,1.6259796023717359
2107,1.6285611317735478
2108,1.6311668294132942
2109,1.634594721514451
2110,1.6397497179715301
2111,1.648095435813261
2112,1.6577887697968585
2113,1.6665258663706244
2114,1.6730893803366598
2115,1.677563159298353
2116,1.6805306404548317
2117,1.6821847654858495
2118,1.683510203613592
2119,1.6851489470787488
2120,1.6884019136082105
2121,1.6944079022438403
2122,1.7031527140344027
2123,1.7113594397920016
2124,1.7178601603416899
2125,1.7225100177638442
2126,1.7243835194298687
2127,1.7248788904853949
2128,1.7249802835637478
2129,1.725521596995548
2130,1.7279026480702224
2131,1.7342020994313214
2132,1.7427474290880671
2133,1.7509867686907363
2134,1.757649410183516
2135,1.7613430480618508
2136,1.7620606833981058
2137,1.7613551089858428
2138,1.7605804634618407
2139,1.7600025515436875
2140,1.760203990647334
2141,1.762279947812311
2142,1.7666319799298862
2143,1.771758314868381
2144,1.7766723789262338
2145,1.7810661784663198
2146,1.783865930170353
2147,1.7855759749823028
2148,1.7866886315394883
2149,1.7871368302446802
2150,1.7875345075013873
2151,1.7882538433213504
2152,1.7903288730824907
2153,1.7951927139989217
2154,1.8025780614912776
2155,1.8100364075037205
2156,1.8159998087527407
2157,1.820011463690234
2158,1.8215692875760803
2159,1.821101447684547
2160,1.8197495524939808
2161,1.818771438889877
2162,1.819535179492968
2163,1.8234107288121446
2164,1.830505822026059
2165,1.837591301332796
2166,1.8433012892421832
2167,1.8466842142565267
2168,1.8468970685370312
2169,1.845510311680106
2170,1.8436279934931041
2171,1.8421117567025431
2172,1.8419068881262597
2173,1.8444332448969456
2174,1.849386939578259
2175,1.855468772850953
2176,1.8614995745500098
2177,1.8658467223693498
2178,1.8677069914295388
2179,1.8678058615223068
2180,1.866924502929008
2181,1.8655499284044914
2182,1.8641599645449
2183,1.8630742928255841
2184,1.8628344771550747
2185,1.8641328946733948
2186,1.868114860787476
2187,1.8736177586502338
2188,1.8791688192744342
2189,1.884814592278741
2190,1.8888373903537279
2191,1.8903236873102027
2192,1.8903577128500573
2193,1.8900603549838666
2194,1.890054452067308
2195,1.8909397524363751
2196,1.894135352983506
2197,1.9002126679543216
2198,1.9078618896764439
2199,1.9147369406909986
2200,1.9194215225475764
2201,1.9215013175394817
2202,1.9218434474893995
2203,1.9216845678948988
2204,1.9209468012708284
2205,1.9199556232571104
2206,1.9191365501959725
2207,1.919038999867541
2208,1.9207283903541066
2209,1.924491870044794
2210,1.92968323807634
2211,1.9349216070648227
2212,1.9393432304014608
2213,1.94231885902666
2214,1.9438863787633716
2215,1.943938912792248
2216,1.9426473329362477
2217,1.9414312242476652
2218,1.941037282296912
2219,1.942259392591293
2220,1.9459871783544613
2221,1.9517471150256218
2222,1.9592197324879244
2223,1.966196805577596
2224,1.9702101507919283
2225,1.9716407158758555
2226,1.9710049740922637
2227,1.969498242256653
2228,1.9679751166249904
2229,1.967326232218183
2230,1.9691029159197433
2231,1.9730068403418082
2232,1.9774639780251395
2233,1.9820213321004634
2234,1.9857848134316856
2235,1.9879625715916716
2236,1.9883016225821721
2237,1.9873435740635872
2238,1.98624827566978
2239,1.9855981685093875
2240,1.9862389084501408
2241,1.989373220777949
2242,1.9951305555057586
2243,2.001482756817648
2244,2.006741622628242
2245,2.0099106765625727
2246,2.010622350600408
2247,2.010055046411609
2248,2.0088150112502436
2249,2.0070907622226253
2250,2.0053701311006593
2251,2.0040067027667696
2252,2.003718326356333
2253,2.005352550230236
2254,2.0091488579720087
2255,2.0137051945958895
2256,2.017997970051371
2257,2.021648798824689
2258,2.0237142311662417
2259,2.0242557700129042
2260,2.0233033303483445
2261,2.0212781745577075
2262,2.0195353477040054
2263,2.0187217220795466
2264,2.0196878608241917
2265,2.023305770073449
2266,2.0290038800627883
2267,2.03588124715583
2268,2.0412533968517526
2269,2.0435952850236667
2270,2.0435484311419954
2271,2.0418735428217474
2272,2.03943723440399
2273,2.037153658074738
2274,2.0365014016661815
2275,2.0382824885264954
2276,2.0419434053805716
2277,2.0458087727890053
2278,2.048808445965399
2279,2.050497163087659
2280,2.050191777473346
2281,2.0484346199421104
2282,2.046480491654978
2283,2.044849028155718
2284,2.044302890612971
2285,2.0461476363587012
2286,2.050723696029962
2287,2.0564128602749303
2288,2.061413039600118
2289,2.063611927655348
2290,2.0634258894864868
2291,2.0621196118912115
2292,2.0595982786573277
2293,2.0566306814688486
2294,2.054448388308879
2295,2.0546381909417333
