year,temp_C_global
2000,0.11138090872972317
2001,0.15727059468450244
2002,0.1842992608236783
2003,0.19339141774671098
2004,0.2012924981654558
2005,0.21000994834358022
2006,0.21393701429744294
2007,0.22058748400173056
2008,0.2364347206037194
2009,0.25589254014052054
2010,0.273702344504665
2011,0.29521797490623136
2012,0.3167177628665617
2013,0.3408975789733505
2014,0.36438660012693413
2015,0.3852548987775556
2016,0.4073407110628212
2017,0.42930616800928056
2018,0.4519128348469633
2019,0.47469436599539117
2020,0.4980022188879808
2021,0.5227810901799129
2022,0.5499499908101045
2023,0.5778328231337778
2024,0.6042405532003566
2025,0.6266697866777117
2026,0.6441972463668683
2027,0.658007074548311
2028,0.6701275741485663
2029,0.6814333303060268
2030,0.6927931778397186
2031,0.7055702613246994
2032,0.7203745355980143
2033,0.7382599813548486
2034,0.7603270893758182
2035,0.7839538602547197
2036,0.8073891813369932
2037,0.8290262445922528
2038,0.8483397713782851
2039,0.8652846387514225
2040,0.8791146834251745
2041,0.8910986446560804
2042,0.9030063554160151
2043,0.9162111738426316
2044,0.9313988207947613
2045,0.950088216747251
2046,0.9718154220448868
2047,0.9951260552354987
2048,1.0180196675352708
2049,1.0374306516470986
2050,1.052057086222935
2051,1.0636377702569586
2052,1.074115324291482
2053,1.0841903809900177
2054,1.0952730171742995
2055,1.1090910222459098
2056,1.126138962674137
2057,1.144037828980438
2058,1.1612362889278574
2059,1.1780562835722357
2060,1.1928550457127898
2061,1.2048787027883558
2062,1.2152831021401398
2063,1.2253765471530733
2064,1.236043046224438
2065,1.2478601212366387
2066,1.2624617975595132
2067,1.2801278419036244
2068,1.2989814393419956
2069,1.3166279281973603
2070,1.3315361278917788
2071,1.3434969593490371
2072,1.3537994026923874
2073,1.3638088408949405
2074,1.3735091545804226
2075,1.3832166587778856
2076,1.3933233260902997
2077,1.404437600358213
2078,1.4176831247390584
2079,1.4331926715728023
2080,1.4499686134972425
2081,1.4663992478387748
2082,1.4815880286522058
2083,1.4947975687587087
2084,1.5063096822207789
2085,1.5160605227211814
2086,1.5243034236349184
2087,1.532782611675711
2088,1.54224252964325
2089,1.5535371761628864
2090,1.5677421622662857
2091,1.583909358480458
2092,1.6011961903599632
2093,1.6170885497702674
2094,1.6289679776411545
2095,1.637635387381121
2096,1.6441012083890674
2097,1.6497286288559079
2098,1.6555726472170922
2099,1.6626305581902496
2100,1.6722936318521806
2101,1.6869511470068042
2102,1.7031640132447223
2103,1.7167926225770556
2104,1.7279957243484967
2105,1.7363446165302414
2106,1.7426634300628896
2107,1.7481302702092898
2108,1.7536109075587447
2109,1.7599846874294052
2110,1.7681954192001519
2111,1.7797478537725056
2112,1.792397389054246
2113,1.8036819494615957
2114,1.8124203722188748
2115,1.8189577545841389
2116,1.8240424334532737
2117,1.82796953511627
2118,1.8318416384639091
2119,1.8363184330875608
2120,1.8427526508481091
2121,1.8522300667412646
2122,1.8645326487054517
2123,1.8758862800411338
2124,1.8852140435544253
2125,1.8924799720051801
2126,1.896843113135449
2127,1.8999989531769392
2128,1.9030300031244676
2129,1.9067985310105837
2130,1.9127351147911273
2131,1.9229482422898871
2132,1.935273482266318
2133,1.946903745863788
2134,1.956562597758396
2135,1.9629370642848647
2136,1.9662538374112666
2137,1.968387963319456
2138,1.9707853302409637
2139,1.9736314392599166
2140,1.9774686106268495
2141,1.9833899834676685
2142,1.9916406771061466
2143,2.0004156634288397
2144,2.0086792743702815
2145,2.016171102729466
2146,2.0217956937672152
2147,2.026271104900411
2148,2.030177833429399
2149,2.033473902720031
2150,2.036839297780096
2151,2.0406418325687508
2152,2.045963645969357
2153,2.0542447734136813
2154,2.0649794074567387
2155,2.075366061494278
2156,2.083815018169004
2157,2.0900007618004275
2158,2.093536849334324
2159,2.0950456766227332
2160,2.0958463341079043
2161,2.0972792326529457
2162,2.100731663399429
2163,2.107533828508331
2164,2.1175751170324544
2165,2.1271373266766043
2166,2.134914754200974
2167,2.140001352449891
2168,2.1417222532528752
2169,2.1419836898661
2170,2.142014291522805
2171,2.1426896010943737
2172,2.144938912002205
2173,2.1501758606882357
2174,2.15783641825235
2175,2.1663969798518945
2176,2.1745711747450627
2177,2.1806696454282437
2178,2.184003806787892
2179,2.1855603276685036
2180,2.1862547560776
2181,2.186621157191916
2182,2.187139334718117
2183,2.1881054886830076
2184,2.1900517138562856
2185,2.193655108544237
2186,2.2000665596763502
2187,2.2078180158102176
2188,2.2153089946751554
2189,2.2226723391931418
2190,2.2280704943803764
2191,2.2307053097073677
2192,2.2319422147524626
2193,2.2330472679170437
2194,2.2346403373014403
2195,2.237301422420372
2196,2.242488848782703
2197,2.250640321883498
2198,2.2601650535634836
2199,2.26848904505311
2200,2.274251889669796
2201,2.2772174317552283
2202,2.2785429125399106
2203,2.279638487976941
2204,2.2803770090793267
2205,2.2811059111787806
2206,2.2822403770507393
2207,2.2843283080077583
2208,2.2884378368109637
2209,2.2947264685823723
2210,2.3023608082847753
2211,2.309787330252635
2212,2.3161490558612425
2213,2.320860034761006
2214,2.3241032946549542
2215,2.325824644323924
2216,2.3262990206276637
2217,2.327115561615794
2218,2.3290182728844924
2219,2.3327915774079786
2220,2.3392767166150614
2221,2.3477908183032783
2222,2.3579240624261626
2223,2.3671790351756794
2224,2.373023851005946
2225,2.376152504575737
2226,2.377280641037106
2227,2.377804807947563
2228,2.3785974934470344
2229,2.3805626693268573
2230,2.385258764688506
2231,2.3921385561544994
2232,2.3993659126519384
2233,2.406500427104211
2234,2.41260150355261
2235,2.416934371536267
2236,2.419340572570607
