year,temp_C_global
2000,0.16326489731759752
2001,0.20278372372511855
2002,0.23266010674488558
2003,0.2505812063689039
2004,0.26224264946203946
2005,0.2710855278045784
2006,0.2764591508670712
2007,0.28396557963352465
2008,0.29741783292108204
2009,0.3140730598774887
2010,0.33480119020124255
2011,0.35845436527818764
2012,0.38314740516299406
2013,0.411787553008104
2014,0.43969604800033546
2015,0.46532409640068073
2016,0.4899699029707062
2017,0.514823941081964
2018,0.5398087683337595
2019,0.5641524746039596
2020,0.5883397782872396
2021,0.613032258897423
2022,0.6392473042186869
2023,0.6655633368855466
2024,0.6900084291965806
2025,0.7102689783274861
2026,0.7255437309939184
2027,0.7370387412007219
2028,0.7467471561307227
2029,0.755512153593283
2030,0.7645154568177858
2031,0.7751842378063599
2032,0.7878903647699335
2033,0.8037463158024901
2034,0.8238140026661526
2035,0.8453668159673225
2036,0.866623518768982
2037,0.8859882044119195
2038,0.9029722179222645
2039,0.9175468548194959
2040,0.9290111794161232
2041,0.9387046640626325
2042,0.9483809901644366
2043,0.9590957566605242
2044,0.9713578056526398
2045,0.9867121514747216
2046,1.004748042876754
2047,1.0240927902073786
2048,1.0428326263397127
2049,1.058040061133184
2050,1.068516961422902
2051,1.0759577692670037
2052,1.082243330264888
2053,1.0880966751746262
2054,1.094915248132232
2055,1.1043767593591234
2056,1.116946708367549
2057,1.1303062014630574
2058,1.142960932642794
2059,1.1552285832899774
2060,1.165521296379894
2061,1.1730846312064154
2062,1.1790163537940828
2063,1.1845824379452656
2064,1.1906183685679892
2065,1.197665202377065
2066,1.207287451423745
2067,1.219729085552598
2068,1.233162700643204
2069,1.2452831898611012
2070,1.2546400357252678
2071,1.2610202177951249
2072,1.2656683131136348
2073,1.2699296044284605
2074,1.2738001312327643
2075,1.2775969121982396
2076,1.281701631664995
2077,1.2867007456516641
2078,1.2936673932838212
2079,1.3027085730799461
2080,1.312846020551468
2081,1.3226227584001635
2082,1.3312533248921903
2083,1.337999385331444
2084,1.3431217174550558
2085,1.3465412596760515
2086,1.348497524779971
2087,1.3506685769473643
2088,1.3537566427936545
2089,1.3585736166908866
2090,1.3661401259441082
2091,1.375601249454732
2092,1.3861846080686298
2093,1.3954068140926794
2094,1.400728831886843
2095,1.4029385863925365
