year,temp_C_global
2000,0.15164460300092453
2001,0.18593525032215774
2002,0.21272482753521504
2003,0.22894498094822857
2004,0.2389396074323622
2005,0.24642958303999907
2006,0.2512921032886758
2007,0.2582512253220306
2008,0.26997687082937505
2009,0.28395869568598786
2010,0.30209557244721463
2011,0.323615399361996
2012,0.3464305231415027
2013,0.37224403028405895
2014,0.3971574381612718
2015,0.41998918487203174
2016,0.44110878975683254
2017,0.46205697106407817
2018,0.48305116497388834
2019,0.5034464302277147
2020,0.5237364714740512
2021,0.5447485778824254
2022,0.5675576470238847
2023,0.5906515602891936
2024,0.6120069422266948
2025,0.6292795856888728
2026,0.6417005894812434
2027,0.6505487487794454
2028,0.6578887276070563
2029,0.6645856775592262
2030,0.671801224708105
2031,0.6808571417532289
2032,0.6920826996788317
2033,0.7066939044110642
2034,0.7258481015132644
2035,0.7467820384224771
2036,0.7677186367949799
2037,0.78704044357305325
2038,0.8042573636604694
2039,0.8193242713250884
2040,0.8315111816459054
2041,0.8419989049299322
2042,0.8524731656846859
2043,0.8642838719270044
2044,0.8780795429495222
2045,0.8953318514091974
2046,0.9155185743797064
2047,0.9371662798260779
2048,0.9582654628696822
2049,0.975786663942057
2050,0.9884875094409559
2051,0.9980917873657195
2052,1.0064931824755727
2053,1.0143888186226668
2054,1.023174278788221
2055,1.0345372794864254
2056,1.0489247485477433
2057,1.0639434302227122
2058,1.0780860803984478
2059,1.0917056508344039
2060,1.1031877883545937
2061,1.1117892588665144
2062,1.1186609758729595
2063,1.125117391502441
2064,1.1320227194435861
2065,1.1399338276125741
2066,1.1504547099982902
2067,1.1638160108544713
2068,1.1781236374215154
2069,1.1910101159597781
2070,1.2010033824132416
2071,1.2079552888810063
2072,1.2131893258437048
2073,1.2180617989494524
2074,1.2225443376778982
2075,1.226948553992751
2076,1.2316527961393908
2077,1.2372522113894675
2078,1.2448429931178362
2079,1.2545265525120168
2080,1.2652952395238861
2081,1.2756514623998583
2082,1.28479419910768
2083,1.2919752643893623
2084,1.297477890151264
2085,1.3012252602377194
2086,1.3034722909632332
2087,1.3059384016161921
2088,1.3093249403722118
2089,1.3144484202649762
2090,1.3223380881470397
2091,1.332162280916421
